Date,Exchange_Rate_GBP_USD,FTSE100_Index,Inflation_Rate,Interest_Rate,GDP_Growth,Unemployment_Rate,CPI
2017-10-12,1.3239772319793701,7556.2001953125,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-13,1.326435923576355,7535.39990234375,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-14,1.326435923576355,7535.39990234375,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-15,1.326435923576355,7535.39990234375,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-16,1.3288860321044922,7527.0,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-17,1.3252933025360107,7516.2001953125,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-18,1.319487452507019,7542.89990234375,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-19,1.321300745010376,7523.0,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-20,1.3150626420974731,7523.2001953125,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-21,1.3150626420974731,7523.2001953125,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-22,1.3150626420974731,7523.2001953125,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-23,1.3189828395843506,7524.5,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-24,1.3206549882888794,7526.5,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-25,1.3131976127624512,7447.2001953125,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-26,1.327351450920105,7486.5,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-27,1.3130252361297607,7505.0,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-28,1.3130252361297607,7505.0,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-29,1.3130252361297607,7505.0,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-30,1.3134045600891113,7487.7998046875,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-31,1.3212482929229736,7493.10009765625,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-11-01,1.3292216062545776,7488.0,2.55775577557747,0.51857,0.7505415208,4.449094,104.7
